ATLAS Properties,description,ATLAS Class,ATLAS Ontology,cardinality,expected Type,range Restriction,OpenAIRE Graph,COAR Resource Type,OpenAIRE Application Profile,cardinality,OpenAIRE AP subproperty,expected Type,range Restriction,
,,,https://schema.org/Dataset,,,,Research Product,,,,,,,
,,,URI,1,,,id, ,datacite:identifier (M),1,datacite:identifierType (M),URI,ARK; DOI; Handle; PURL; URN; URL, 
Title (M),The full title of the research product and its abbreviations or aliases.,https://schema.org/Dataset,https://schema.org/name,1-n,xsd:String,,mainTitle,dataset,datacite:title (M),1-n,,xsd:String,,
Description (M),Brief text that describes the research product; its content and features.,https://schema.org/Dataset,http://schema.org/description,1-n,xsd:String,,description,dataset,dc:description (MA),0-n,dc:descriptionType (MA),xsd:String,abstract; methods; seriesInformation; tableOfContents; other, 
Creator (M),The creator of the research product. It could be a single person; a group of people; an organization; etc.,https://schema.org/Dataset,http://schema.org/creator,1-n,URI,foaf:Agent[ORCID;catalogue],author,dataset,datacite:creator (M),1-n,datacite:creatorName (M); datacite:affiliation (R); datacite:nameIdentifier(R),xsd:String; schemeURI,,
Contributor,Person or organization that has contributed to the realization of the research product.,https://schema.org/Dataset,https://schema.org/contributor,0-n,URI,foaf:Agent[ORCID;catalogue],contributor,dataset,datacite:contributor (MA),0-n,datacite:contributorrName (M); datacite:affiliation (R); datacite:nameIdentifier(R),xsd:String; schemeURI,,
Publisher (M),The publisher of the research product; e.g. the University hosting the research product.,https://schema.org/Dataset,http://schema.org/publisher,1-n,URI,foaf:Agent[ORCID;catalogue],publisher,dataset,dc:publisher (MA),0-n,,xsd:String,,
Language,The language(s) used in/by the research product.,https://schema.org/Dataset,https://schema.org/inLanguage,0-n,URI,EU Vocabularies - Language,language,dataset,dc:language (MA),0-n,,URI,IETF BCP 47; ISO 639-3, 
Research Activities (M),Research activities afforded by the research product.,https://schema.org/Dataset,https://schema.org/educationalUse,1-n,URI,TaDiRAH,subjects,dataset,datacite:subject (MA),0-n,,xsd:string,keyword,
Downloads (M),The URL of the downloadable files; if available; or the URL of the download page.,https://schema.org/Dataset,https://schema.org/distribution,1-n,URL,,instance,dataset,oaire:file (MA),0-n,,URI,,
Landing Page (M),The website where the research product is presented.,https://schema.org/Dataset,http://schema.org/url,0-1,URL,,instance > url,dataset,datacite:alternateIdentifier (R),0-n,datacite:alternativeidentifierType (M),URI,ARK; DOI; Handle; PURL; URN; URL, 
Research Project,The research project the resarch product belongs to.,https://schema.org/Dataset,http://schema.org/producer,0-1,URI,schema:ResearchProject,produces / isProducedBy,dataset,oaire:fundingReference (MA),0-n,oaire:funderName (M),xsd:String,,
Type (M),The type of research product.,https://schema.org/Dataset,https://schema.org/additionalType,1,URI,atlas:ScholarlyDigitalEdition ; atlas:TextualArchive ; atlas:LinkedOpenData ; atlas:Ontology ; atlas:Software,type,dataset,oaire:resourceType (M),1,,URI,COAR Resource Type Vocabulary, 
Release Date (M),The date or year the research product was released.,https://schema.org/Dataset,http://schema.org/datePublished,1,xsd:Date,,publicationDate,dataset,datacite:date (M),1,datacite:dateType (M),xsd:Date,ISO 8601 [W3CDTF],
Access Rights (M),How the resource can be accessed. If more access rights are in place; describe how the main resource should be accessed here; and use 'Has part' to describe a subset for which different rights apply.,https://schema.org/Dataset,http://purl.org/dc/terms/accessRights,1,URI,COAR,accessRights,dataset,datacite:rights (M),1,datacite:rightsURI (MA),URI,COAR Access Right Vocabulary, 
License (M),The license under which the research product is available to the public.,https://schema.org/Dataset,http://schema.org/license,1,URI,schema.gov - Licenze | EU Vocabularies - Licenses,instance > license,dataset,oaire:licenseCondition (R),0-1,,URL,,
